"Datum" "Incidens"
2020-03-01 1
2020-03-02 0
2020-03-03 0
2020-03-04 1
2020-03-05 0
2020-03-06 1
2020-03-07 0
2020-03-08 2
2020-03-09 1
2020-03-10 5
2020-03-11 2
2020-03-12 6
2020-03-13 4
2020-03-14 5
2020-03-15 3
2020-03-16 2
2020-03-17 7
2020-03-18 4
2020-03-19 3
2020-03-20 11
2020-03-21 1
2020-03-22 7
2020-03-23 7
2020-03-24 10
2020-03-25 3
2020-03-26 9
2020-03-27 11
2020-03-28 8
2020-03-29 9
2020-03-30 11
2020-03-31 7
2020-04-01 9
2020-04-02 5
2020-04-03 7
2020-04-04 3
2020-04-05 6
2020-04-06 12
2020-04-07 6
2020-04-08 10
2020-04-09 8
2020-04-10 8
2020-04-11 5
2020-04-12 7
2020-04-13 7
2020-04-14 7
2020-04-15 7
2020-04-16 6
2020-04-17 8
2020-04-18 3
2020-04-19 4
2020-04-20 10
2020-04-21 6
2020-04-22 2
2020-04-23 4
2020-04-24 7
2020-04-25 5
2020-04-26 0
2020-04-27 5
2020-04-28 5
2020-04-29 3
2020-04-30 2
2020-05-01 3
2020-05-02 3
2020-05-03 0
2020-05-04 5
2020-05-05 4
2020-05-06 3
2020-05-07 1
2020-05-08 3
2020-05-09 3
2020-05-10 1
2020-05-11 3
2020-05-12 3
2020-05-13 1
2020-05-14 4
2020-05-15 2
2020-05-16 1
2020-05-17 5
2020-05-18 4
2020-05-19 2
2020-05-20 3
2020-05-21 1
2020-05-22 2
2020-05-23 4
2020-05-24 3
2020-05-25 2
2020-05-26 1
2020-05-27 3
2020-05-28 1
2020-05-29 4
2020-05-30 6
2020-05-31 4
2020-06-01 1
2020-06-02 1
2020-06-03 6
2020-06-04 3
2020-06-05 2
