"Datum" "Incidens"
2020-02-17 1
2020-02-18 0
2020-02-19 0
2020-02-20 0
2020-02-21 1
2020-02-22 1
2020-02-23 0
2020-02-24 1
2020-02-25 0
2020-02-26 1
2020-02-27 2
2020-02-28 6
2020-02-29 28
2020-03-01 5
2020-03-02 3
2020-03-03 5
2020-03-04 6
2020-03-05 12
2020-03-06 10
2020-03-07 29
2020-03-08 26
2020-03-09 29
2020-03-10 31
2020-03-11 44
2020-03-12 46
2020-03-13 45
2020-03-14 32
2020-03-15 55
2020-03-16 60
2020-03-17 58
2020-03-18 78
2020-03-19 81
2020-03-20 118
2020-03-21 70
2020-03-22 70
2020-03-23 102
2020-03-24 95
2020-03-25 119
2020-03-26 104
2020-03-27 156
2020-03-28 97
2020-03-29 98
2020-03-30 137
2020-03-31 162
2020-04-01 180
2020-04-02 143
2020-04-03 118
2020-04-04 104
2020-04-05 90
2020-04-06 124
2020-04-07 132
2020-04-08 132
2020-04-09 124
2020-04-10 101
2020-04-11 81
2020-04-12 95
2020-04-13 100
2020-04-14 109
2020-04-15 112
2020-04-16 104
2020-04-17 115
2020-04-18 73
2020-04-19 78
2020-04-20 98
2020-04-21 91
2020-04-22 92
2020-04-23 79
2020-04-24 87
2020-04-25 81
2020-04-26 58
2020-04-27 83
2020-04-28 83
2020-04-29 78
2020-04-30 86
2020-05-01 77
2020-05-02 57
2020-05-03 62
2020-05-04 60
2020-05-05 74
2020-05-06 85
2020-05-07 74
2020-05-08 81
2020-05-09 35
2020-05-10 58
2020-05-11 74
2020-05-12 57
2020-05-13 77
2020-05-14 60
2020-05-15 61
2020-05-16 39
2020-05-17 48
2020-05-18 75
2020-05-19 78
2020-05-20 63
2020-05-21 45
2020-05-22 60
2020-05-23 47
2020-05-24 49
2020-05-25 73
2020-05-26 77
2020-05-27 75
2020-05-28 58
2020-05-29 84
2020-05-30 40
2020-05-31 63
2020-06-01 69
2020-06-02 63
2020-06-03 65
2020-06-04 76
2020-06-05 84
