"Datum" "Incidens"
2020-02-17 1
2020-02-18 0
2020-02-19 0
2020-02-20 0
2020-02-21 1
2020-02-22 0
2020-02-23 0
2020-02-24 0
2020-02-25 0
2020-02-26 0
2020-02-27 1
2020-02-28 1
2020-02-29 3
2020-03-01 1
2020-03-02 2
2020-03-03 0
2020-03-04 6
2020-03-05 2
2020-03-06 3
2020-03-07 2
2020-03-08 5
2020-03-09 2
2020-03-10 4
2020-03-11 4
2020-03-12 6
2020-03-13 11
2020-03-14 8
2020-03-15 4
2020-03-16 11
2020-03-17 6
2020-03-18 16
2020-03-19 16
2020-03-20 16
2020-03-21 6
2020-03-22 6
2020-03-23 14
2020-03-24 14
2020-03-25 13
2020-03-26 11
2020-03-27 14
2020-03-28 17
2020-03-29 20
2020-03-30 19
2020-03-31 15
2020-04-01 37
2020-04-02 22
2020-04-03 23
2020-04-04 27
2020-04-05 29
2020-04-06 23
2020-04-07 29
2020-04-08 27
2020-04-09 37
2020-04-10 28
2020-04-11 36
2020-04-12 28
2020-04-13 31
2020-04-14 26
2020-04-15 29
2020-04-16 34
2020-04-17 32
2020-04-18 25
2020-04-19 26
2020-04-20 32
2020-04-21 23
2020-04-22 27
2020-04-23 31
2020-04-24 25
2020-04-25 30
2020-04-26 15
2020-04-27 29
2020-04-28 27
2020-04-29 27
2020-04-30 41
2020-05-01 23
2020-05-02 24
2020-05-03 21
2020-05-04 30
2020-05-05 27
2020-05-06 23
2020-05-07 35
2020-05-08 29
2020-05-09 13
2020-05-10 11
2020-05-11 28
2020-05-12 21
2020-05-13 25
2020-05-14 22
2020-05-15 26
2020-05-16 16
2020-05-17 15
2020-05-18 30
2020-05-19 23
2020-05-20 34
2020-05-21 20
2020-05-22 32
2020-05-23 14
2020-05-24 14
2020-05-25 22
2020-05-26 24
2020-05-27 22
2020-05-28 30
2020-05-29 20
2020-05-30 31
2020-05-31 15
2020-06-01 27
2020-06-02 40
2020-06-03 31
2020-06-04 47
2020-06-05 32
