"Datum" "Incidens"
2020-02-23 1
2020-02-24 0
2020-02-25 1
2020-02-26 0
2020-02-27 0
2020-02-28 0
2020-02-29 1
2020-03-01 1
2020-03-02 2
2020-03-03 1
2020-03-04 1
2020-03-05 2
2020-03-06 2
2020-03-07 4
2020-03-08 0
2020-03-09 3
2020-03-10 14
2020-03-11 5
2020-03-12 10
2020-03-13 10
2020-03-14 2
2020-03-15 5
2020-03-16 5
2020-03-17 2
2020-03-18 3
2020-03-19 2
2020-03-20 4
2020-03-21 5
2020-03-22 2
2020-03-23 6
2020-03-24 4
2020-03-25 9
2020-03-26 4
2020-03-27 7
2020-03-28 4
2020-03-29 5
2020-03-30 8
2020-03-31 6
2020-04-01 14
2020-04-02 17
2020-04-03 13
2020-04-04 10
2020-04-05 11
2020-04-06 8
2020-04-07 9
2020-04-08 4
2020-04-09 8
2020-04-10 5
2020-04-11 8
2020-04-12 7
2020-04-13 8
2020-04-14 10
2020-04-15 8
2020-04-16 6
2020-04-17 7
2020-04-18 10
2020-04-19 8
2020-04-20 12
2020-04-21 9
2020-04-22 11
2020-04-23 7
2020-04-24 9
2020-04-25 11
2020-04-26 5
2020-04-27 15
2020-04-28 16
2020-04-29 4
2020-04-30 15
2020-05-01 17
2020-05-02 14
2020-05-03 8
2020-05-04 15
2020-05-05 8
2020-05-06 14
2020-05-07 9
2020-05-08 7
2020-05-09 8
2020-05-10 11
2020-05-11 16
2020-05-12 9
2020-05-13 9
2020-05-14 7
2020-05-15 18
2020-05-16 8
2020-05-17 5
2020-05-18 18
2020-05-19 8
2020-05-20 11
2020-05-21 7
2020-05-22 12
2020-05-23 11
2020-05-24 6
2020-05-25 6
2020-05-26 10
2020-05-27 11
2020-05-28 10
2020-05-29 12
2020-05-30 6
2020-05-31 7
2020-06-01 7
2020-06-02 8
2020-06-03 12
2020-06-04 5
2020-06-05 7
